商品編號數值,內容
299,空車
1,稻穀
2,雜糧農作物
3,特用作物
4,蔬菜
5,水果
6,其他園藝作物
7,豬
8,其他禽畜產
9,林產
10,漁產
11,原油
12,砂、石及黏土
13,其他礦產及土石
14,屠宰生肉及副產品
15,肉類保藏及加工品
16,水產保藏及加工品
17,蔬果保藏及加工品
18,食用油脂及副產
19,乳製品
20,米
21,製粉
22,飼料
23,糖果及烘焙炊蒸食品
24,糖
25,調味品
26,其他食品
27,酒精飲料
28,非酒精飲料
29,菸
30,棉、毛、絲麻及其織布
31,人造纖維及玻璃纖維紡織品
32,針織布
33,不織布
34,其他紡織品
35,梭織成衣
36,針織成衣
37,紡織服飾品
38,皮革
39,鞋類製品
40,其他皮革製品
41,製材
42,合板及組合木材
43,木竹籐製品
44,紙漿及紙
45,紙製品
46,印刷
47,石油煉製品
48,焦炭及其他煤製品
49,基本化學材料
50,石油化工原料
51,化學肥料
52,塑膠(合成樹脂)
53,合成橡膠
54,合成纖維
55,其他人造纖維
56,農藥及衛生用藥
57,塗料、染料及顏料
58,清潔用品及化粧品
59,其他化學製品
60,醫療藥品
61,橡膠製品
62,塑膠製品
63,玻璃及其製品
64,陶瓷製品
65,水泥
66,水泥製品
67,其他非金屬礦物製品
68,生鐵及粗鋼
69,鋼鐵初級製品
70,鋁
71,其他金屬
72,金屬手工具及模具
73,金屬結構及建築組件
74,金屬容器
75,其他金屬製品
76,半導體
77,被動電子元件
78,印刷電路板
79,光電材料及元件
80,其他電子零組件
81,電腦產品
82,電腦週邊設備
83,通訊傳播設備
84,視聽電子產品
85,空白資料儲存媒體
86,量測、導航、控制設備及鐘錶
87,幅射及電子醫學設備、光學儀器
88,發電、輸電及配電設備
89,電池
90,電線、電纜及配線器材
91,照明設備
92,家用電器
93,其他電力設備
94,金屬加工機械
95,其他專用機械設備
96,通用機械
97,汽車
98,船舶
99,機車
100,自行車
101,其他運輸工具
102,非金屬家具
103,金屬家具
104,育樂用品
105,其他製品
106,燃氣
107,自來水
108,廢(污)水處理
109,廢棄物清除、處理
110,資源回收處理
111,出版品
112,影片及音樂出版品
201,貨櫃貨
200,空貨櫃